EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
464,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
465,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
466,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
467,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
468,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
469,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
470,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
471,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
472,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
473,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
474,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
475,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
476,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
477,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
478,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
479,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
480,2024-12-21 16:49:45,icmp,192.168.43.41,,192.168.43.13,
481,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
482,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
483,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
484,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
485,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
486,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
487,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
488,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
489,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
490,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
491,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
492,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
493,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
494,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
495,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
496,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
497,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
498,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
499,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
500,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
501,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
502,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
503,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
504,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
505,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
506,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
507,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
508,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
509,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
510,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
511,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
512,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
513,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
514,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
515,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
516,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
517,2024-12-21 16:49:46,icmp,192.168.43.13,,192.168.43.41,
518,2024-12-21 16:49:46,icmp,192.168.43.41,,192.168.43.13,
